Zipcode,Income 50-74K,Income 75-100K,High School Diploma,Bachelor's Degree,Non Poverty Family,Poverty Family
64436,0.0,0.0,217.0,152.0,137.0,9.0
64654,0.0,0.0,31.0,0.0,2.0,0.0
65041,0.0,0.0,1432.0,582.0,536.0,6.0
65032,0.0,9.0,555.0,189.0,240.0,43.0
65035,0.0,0.0,586.0,173.0,281.0,20.0
65037,0.0,0.0,1300.0,251.0,160.0,22.0
65051,0.0,0.0,1089.0,417.0,613.0,34.0
65068,0.0,0.0,187.0,70.0,90.0,26.0
65074,0.0,0.0,741.0,183.0,206.0,1.0
65078,15.0,0.0,1009.0,168.0,280.0,104.0
65246,0.0,0.0,53.0,4.0,0.0,0.0
65010,0.0,0.0,890.0,922.0,813.0,0.0
65013,10.0,0.0,904.0,231.0,172.0,63.0
65016,0.0,0.0,485.0,92.0,129.0,0.0
65048,0.0,0.0,59.0,39.0,46.0,0.0
65050,2.0,0.0,64.0,44.0,203.0,12.0
65063,0.0,0.0,614.0,490.0,633.0,3.0
65065,0.0,0.0,1473.0,834.0,592.0,98.0
65069,0.0,0.0,184.0,91.0,78.0,0.0
65072,0.0,0.0,208.0,74.0,55.0,9.0
65077,0.0,0.0,103.0,42.0,143.0,0.0
65109,46.0,0.0,6384.0,6073.0,3713.0,145.0
65201,0.0,0.0,2538.0,5650.0,1595.0,62.0
65236,4.0,0.0,476.0,107.0,174.0,0.0
65239,0.0,0.0,279.0,63.0,182.0,19.0
65257,0.0,0.0,455.0,87.0,186.0,81.0
65265,8.0,0.0,4273.0,830.0,1290.0,138.0
65725,0.0,0.0,587.0,384.0,317.0,56.0
65732,0.0,0.0,292.0,52.0,115.0,6.0
65747,0.0,0.0,878.0,281.0,140.0,12.0
65757,0.0,0.0,1534.0,728.0,916.0,88.0
65759,0.0,0.0,268.0,81.0,128.0,10.0
65773,0.0,0.0,124.0,63.0,105.0,0.0
65785,27.0,0.0,1361.0,339.0,452.0,93.0
65248,0.0,0.0,915.0,430.0,312.0,73.0
65259,0.0,0.0,617.0,155.0,456.0,17.0
65275,0.0,0.0,752.0,238.0,225.0,21.0
65326,0.0,0.0,496.0,190.0,89.0,153.0
65436,0.0,0.0,15.0,4.0,0.0,0.0
65439,0.0,0.0,108.0,0.0,43.0,0.0
65441,0.0,0.0,1561.0,237.0,541.0,69.0
65453,0.0,0.0,1935.0,520.0,777.0,149.0
65463,0.0,0.0,222.0,46.0,76.0,0.0
65466,0.0,0.0,347.0,184.0,107.0,30.0
65483,0.0,0.0,960.0,367.0,221.0,6.0
65550,44.0,0.0,846.0,322.0,238.0,43.0
65589,0.0,0.0,114.0,0.0,0.0,0.0
65601,0.0,0.0,235.0,32.0,32.0,0.0
65614,0.0,0.0,205.0,54.0,42.0,22.0
65616,17.0,40.0,5101.0,2525.0,2172.0,193.0
65617,0.0,0.0,385.0,18.0,156.0,0.0
65619,0.0,0.0,1135.0,1135.0,850.0,27.0
65623,0.0,0.0,9.0,0.0,14.0,0.0
65626,0.0,0.0,352.0,32.0,141.0,61.0
65640,0.0,0.0,218.0,62.0,130.0,0.0
65646,0.0,0.0,452.0,107.0,117.0,53.0
65668,0.0,0.0,410.0,115.0,111.0,11.0
65672,0.0,0.0,1563.0,702.0,634.0,233.0
65689,0.0,0.0,839.0,301.0,486.0,280.0
65705,0.0,0.0,1074.0,226.0,376.0,70.0
65711,0.0,0.0,2482.0,615.0,729.0,62.0
65766,0.0,0.0,19.0,0.0,0.0,0.0
65767,0.0,0.0,579.0,56.0,148.0,0.0
65775,12.0,0.0,5231.0,1560.0,2342.0,692.0
65781,0.0,0.0,1558.0,1145.0,1523.0,20.0
65783,0.0,0.0,22.0,0.0,0.0,0.0
65793,0.0,0.0,1488.0,301.0,672.0,14.0
65274,0.0,0.0,434.0,212.0,170.0,12.0
65339,0.0,0.0,162.0,52.0,53.0,8.0
65320,0.0,0.0,7.0,13.0,0.0,0.0
65332,0.0,0.0,308.0,53.0,119.0,50.0
65337,0.0,0.0,274.0,119.0,214.0,10.0
65459,0.0,0.0,1689.0,385.0,551.0,204.0
65461,0.0,0.0,20.0,0.0,0.0,14.0
65479,0.0,0.0,46.0,0.0,0.0,31.0
65484,0.0,0.0,14.0,31.0,0.0,0.0
65501,0.0,0.0,13.0,7.0,17.0,0.0
67210,0.0,0.0,1136.0,666.0,879.0,9.0
67142,0.0,4.0,145.0,47.0,48.0,0.0
67149,11.0,0.0,214.0,131.0,210.0,0.0
67219,0.0,0.0,1829.0,1194.0,1008.0,321.0
67301,0.0,0.0,1941.0,1218.0,1246.0,158.0
67332,0.0,0.0,35.0,7.0,8.0,4.0
67355,0.0,0.0,14.0,12.0,6.0,5.0
67357,5.0,0.0,2016.0,993.0,1012.0,247.0
67416,0.0,0.0,210.0,79.0,124.0,0.0
67441,0.0,0.0,217.0,93.0,110.0,52.0
67449,0.0,0.0,677.0,229.0,268.0,110.0
67491,0.0,0.0,50.0,54.0,88.0,6.0
67505,0.0,0.0,516.0,158.0,139.0,4.0
67514,0.0,0.0,186.0,65.0,77.0,18.0
67515,0.0,0.0,4.0,8.0,0.0,0.0
67522,0.0,0.0,295.0,293.0,252.0,0.0
67525,0.0,0.0,223.0,109.0,66.0,0.0
67561,0.0,0.0,244.0,117.0,166.0,0.0
67568,0.0,0.0,35.0,26.0,20.0,26.0
67579,0.0,0.0,464.0,397.0,303.0,8.0
67584,0.0,0.0,59.0,28.0,44.0,0.0
67623,0.0,0.0,42.0,36.0,4.0,0.0
67740,0.0,0.0,337.0,231.0,173.0,14.0
67643,0.0,0.0,73.0,23.0,41.0,1.0
67644,0.0,0.0,117.0,24.0,24.0,0.0
67657,0.0,0.0,56.0,67.0,22.0,0.0
67741,0.0,0.0,48.0,16.0,28.0,2.0
67748,0.0,5.0,468.0,258.0,281.0,7.0
67753,0.0,0.0,76.0,62.0,100.0,21.0
67758,0.0,0.0,213.0,139.0,132.0,26.0
67831,0.0,0.0,148.0,162.0,78.0,1.0
67835,0.0,0.0,313.0,330.0,531.0,17.0
67844,0.0,0.0,100.0,87.0,89.0,0.0
67861,0.0,0.0,382.0,180.0,265.0,0.0
67867,4.0,0.0,191.0,108.0,261.0,19.0
67871,0.0,0.0,933.0,630.0,792.0,47.0
67882,0.0,0.0,29.0,21.0,11.0,27.0
67901,15.0,0.0,2886.0,1107.0,2382.0,537.0
67950,0.0,0.0,464.0,143.0,161.0,0.0
67009,1.0,0.0,197.0,73.0,134.0,5.0
67038,0.0,0.0,165.0,71.0,90.0,12.0
67047,0.0,0.0,167.0,27.0,10.0,0.0
67061,0.0,0.0,32.0,11.0,12.0,11.0
67065,0.0,0.0,64.0,10.0,28.0,0.0
67071,0.0,0.0,30.0,12.0,18.0,0.0
67111,7.0,0.0,59.0,17.0,50.0,0.0
67159,0.0,0.0,49.0,26.0,1.0,0.0
67202,0.0,0.0,246.0,290.0,0.0,0.0
67203,6.0,0.0,4257.0,3239.0,2029.0,529.0
67208,0.0,0.0,1752.0,2537.0,1594.0,189.0
67214,0.0,0.0,2054.0,601.0,621.0,288.0
67341,0.0,0.0,43.0,78.0,16.0,0.0
67356,0.0,0.0,516.0,169.0,231.0,59.0
67854,0.0,8.0,205.0,167.0,134.0,11.0
65231,22.0,0.0,879.0,304.0,279.0,19.0
65762,0.0,2.0,57.0,13.0,10.0,11.0
65784,0.0,0.0,0.0,0.0,0.0,0.0
65807,30.0,0.0,8455.0,6770.0,2760.0,746.0
65262,0.0,0.0,116.0,125.0,59.0,2.0
65282,0.0,0.0,57.0,0.0,0.0,0.0
65001,0.0,0.0,83.0,14.0,15.0,0.0
65608,0.0,0.0,2570.0,468.0,898.0,171.0
65690,0.0,0.0,77.0,0.0,13.0,0.0
65247,0.0,0.0,224.0,18.0,34.0,0.0
65714,8.0,0.0,5323.0,4262.0,3830.0,299.0
67474,0.0,0.0,53.0,25.0,59.0,11.0
67865,2.0,0.0,203.0,180.0,119.0,4.0
67869,0.0,0.0,192.0,103.0,181.0,32.0
67484,0.0,0.0,273.0,62.0,156.0,11.0
67436,0.0,0.0,178.0,100.0,58.0,0.0
67443,0.0,0.0,285.0,131.0,204.0,0.0
67454,0.0,0.0,153.0,60.0,38.0,0.0
67459,0.0,0.0,41.0,32.0,18.0,6.0
67473,0.0,0.0,415.0,191.0,129.0,35.0
67475,0.0,0.0,40.0,18.0,15.0,0.0
67478,0.0,0.0,13.0,3.0,1.0,0.0
67510,0.0,0.0,88.0,15.0,58.0,0.0
67521,0.0,0.0,26.0,25.0,10.0,0.0
67529,0.0,0.0,55.0,10.0,28.0,12.0
67544,0.0,0.0,484.0,250.0,300.0,19.0
67548,0.0,0.0,260.0,137.0,137.0,0.0
67559,0.0,0.0,3.0,15.0,0.0,0.0
67560,0.0,0.0,375.0,240.0,213.0,8.0
67578,0.0,0.0,213.0,125.0,85.0,32.0
67621,0.0,0.0,71.0,34.0,22.0,0.0
67631,0.0,0.0,57.0,13.0,16.0,0.0
67639,0.0,0.0,39.0,14.0,9.0,0.0
67651,0.0,0.0,100.0,79.0,35.0,7.0
67658,0.0,0.0,14.0,18.0,4.0,5.0
