Zipcode,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
42409,0.0,0.0,682.0,71.0,22.0,261.0
42420,0.0,16.0,7237.0,1622.0,290.0,2942.0
42441,0.0,0.0,453.0,22.0,9.0,172.0
42458,0.0,0.0,129.0,33.0,0.0,135.0
42501,0.0,0.0,3555.0,316.0,141.0,1056.0
42519,0.0,0.0,735.0,57.0,51.0,237.0
42566,0.0,0.0,110.0,0.0,37.0,79.0
42631,0.0,0.0,43.0,0.0,0.0,0.0
42653,0.0,0.0,736.0,38.0,153.0,248.0
42726,0.0,0.0,1164.0,100.0,244.0,463.0
42728,8.0,0.0,3077.0,716.0,276.0,1468.0
42741,0.0,0.0,85.0,14.0,91.0,35.0
42753,0.0,0.0,163.0,29.0,0.0,52.0
42023,0.0,0.0,457.0,92.0,31.0,118.0
42056,0.0,0.0,429.0,54.0,89.0,181.0
42021,4.0,0.0,311.0,12.0,20.0,267.0
42081,0.0,0.0,493.0,44.0,33.0,236.0
42371,0.0,0.0,196.0,6.0,0.0,72.0
42301,16.0,0.0,7776.0,1944.0,206.0,3836.0
42303,8.0,0.0,7764.0,1756.0,440.0,3919.0
42351,0.0,0.0,1032.0,182.0,42.0,451.0
42442,0.0,0.0,781.0,101.0,45.0,224.0
42445,0.0,0.0,2831.0,704.0,88.0,829.0
42451,0.0,0.0,107.0,0.0,111.0,0.0
42565,0.0,0.0,48.0,19.0,0.0,0.0
42633,0.0,0.0,4219.0,576.0,393.0,1881.0
42701,0.0,0.0,7886.0,3500.0,338.0,5285.0
42712,0.0,0.0,423.0,6.0,47.0,63.0
42765,0.0,0.0,1212.0,203.0,121.0,780.0
42133,0.0,0.0,354.0,36.0,1.0,153.0
42204,0.0,0.0,86.0,14.0,30.0,31.0
42254,0.0,0.0,51.0,0.0,0.0,11.0
42324,0.0,0.0,221.0,70.0,10.0,134.0
42326,0.0,0.0,175.0,0.0,0.0,8.0
42001,19.0,0.0,4374.0,1820.0,10.0,2355.0
42784,0.0,0.0,524.0,79.0,31.0,183.0
42788,0.0,0.0,34.0,0.0,0.0,42.0
42265,0.0,0.0,184.0,44.0,0.0,204.0
42044,0.0,0.0,766.0,212.0,47.0,123.0
42103,16.0,17.0,2721.0,1567.0,51.0,2347.0
43505,0.0,0.0,24.0,0.0,0.0,3.0
43733,0.0,0.0,0.0,0.0,0.0,0.0
43030,0.0,0.0,0.0,0.0,0.0,0.0
42037,0.0,0.0,25.0,0.0,0.0,0.0
42130,0.0,0.0,33.0,25.0,0.0,12.0
42102,0.0,0.0,0.0,0.0,0.0,0.0
42156,0.0,0.0,83.0,9.0,0.0,20.0
42088,0.0,0.0,663.0,43.0,38.0,353.0
42211,0.0,0.0,2230.0,439.0,63.0,1217.0
42374,0.0,0.0,174.0,0.0,16.0,62.0
42163,0.0,0.0,37.0,0.0,0.0,0.0
42356,0.0,0.0,0.0,35.0,0.0,0.0
42124,0.0,0.0,0.0,0.0,0.0,0.0
42367,0.0,0.0,180.0,15.0,0.0,56.0
42078,0.0,0.0,448.0,36.0,0.0,185.0
42083,0.0,0.0,85.0,0.0,0.0,19.0
42084,0.0,0.0,18.0,0.0,0.0,11.0
42085,0.0,0.0,162.0,10.0,66.0,50.0
42087,0.0,0.0,399.0,43.0,28.0,105.0
42120,0.0,0.0,419.0,51.0,57.0,284.0
42129,0.0,0.0,1327.0,274.0,186.0,657.0
42134,14.0,0.0,3741.0,457.0,234.0,1497.0
42157,0.0,0.0,98.0,0.0,47.0,59.0
42207,0.0,0.0,292.0,32.0,0.0,75.0
42214,0.0,0.0,70.0,37.0,0.0,33.0
42215,0.0,0.0,261.0,85.0,84.0,47.0
42217,6.0,0.0,675.0,78.0,79.0,293.0
42275,0.0,0.0,206.0,6.0,0.0,12.0
42463,0.0,0.0,32.0,0.0,0.0,0.0
42724,0.0,0.0,968.0,99.0,0.0,717.0
42758,0.0,0.0,0.0,0.0,0.0,0.0
42322,0.0,0.0,26.0,0.0,0.0,0.0
42764,0.0,0.0,73.0,0.0,0.0,58.0
42276,0.0,0.0,3309.0,426.0,119.0,912.0
42234,8.0,0.0,580.0,80.0,54.0,259.0
42240,19.0,0.0,7405.0,1949.0,532.0,3561.0
42273,0.0,0.0,205.0,10.0,2.0,10.0
42285,0.0,0.0,84.0,23.0,0.0,60.0
42321,0.0,0.0,73.0,0.0,0.0,29.0
42323,0.0,0.0,193.0,0.0,0.0,68.0
42330,0.0,0.0,2337.0,192.0,152.0,544.0
42332,0.0,0.0,12.0,0.0,0.0,0.0
42344,0.0,0.0,238.0,16.0,15.0,71.0
42349,0.0,0.0,307.0,4.0,77.0,103.0
42350,0.0,0.0,342.0,22.0,6.0,217.0
42361,0.0,0.0,131.0,10.0,0.0,40.0
42404,0.0,0.0,593.0,27.0,5.0,205.0
42406,0.0,0.0,789.0,65.0,24.0,350.0
42413,0.0,0.0,681.0,167.0,27.0,374.0
42450,0.0,0.0,961.0,58.0,167.0,287.0
42452,0.0,0.0,497.0,120.0,29.0,302.0
42461,0.0,0.0,233.0,16.0,0.0,59.0
42518,0.0,0.0,434.0,72.0,47.0,196.0
42533,0.0,0.0,151.0,24.0,23.0,51.0
42743,5.0,0.0,2196.0,218.0,249.0,864.0
42748,0.0,0.0,1803.0,320.0,71.0,595.0
42749,0.0,0.0,920.0,131.0,142.0,584.0
42762,0.0,0.0,83.0,0.0,0.0,108.0
42003,0.0,0.0,5498.0,868.0,236.0,2080.0
42029,0.0,0.0,1623.0,99.0,18.0,568.0
42031,0.0,0.0,611.0,87.0,20.0,216.0
42036,0.0,0.0,502.0,62.0,0.0,289.0
42040,0.0,0.0,121.0,98.0,0.0,72.0
42051,0.0,0.0,801.0,103.0,120.0,402.0
42076,7.0,0.0,210.0,32.0,49.0,10.0
42082,0.0,0.0,340.0,131.0,0.0,249.0
42104,6.0,0.0,3839.0,2641.0,339.0,3346.0
42732,0.0,0.0,399.0,13.0,0.0,240.0
42740,0.0,0.0,401.0,46.0,0.0,79.0
42757,0.0,0.0,596.0,76.0,13.0,248.0
42776,0.0,0.0,657.0,72.0,219.0,297.0
42782,0.0,0.0,209.0,49.0,0.0,76.0
42035,0.0,0.0,219.0,65.0,51.0,95.0
42123,0.0,0.0,264.0,8.0,0.0,38.0
42153,0.0,0.0,41.0,0.0,30.0,97.0
42167,0.0,0.0,2038.0,284.0,124.0,731.0
42232,0.0,0.0,79.0,35.0,0.0,118.0
42280,0.0,0.0,21.0,0.0,12.0,52.0
42339,0.0,0.0,246.0,36.0,0.0,95.0
42286,2.0,0.0,211.0,54.0,27.0,135.0
42325,0.0,0.0,509.0,18.0,67.0,246.0
42345,0.0,0.0,2390.0,355.0,43.0,1041.0
42369,0.0,0.0,54.0,4.0,9.0,34.0
42411,0.0,0.0,391.0,83.0,57.0,89.0
42437,0.0,0.0,2084.0,248.0,125.0,692.0
42453,0.0,0.0,179.0,0.0,13.0,10.0
42455,0.0,0.0,567.0,68.0,85.0,294.0
42464,0.0,0.0,435.0,44.0,42.0,135.0
42503,79.0,0.0,4581.0,1086.0,433.0,2133.0
42516,0.0,0.0,68.0,17.0,0.0,45.0
42544,0.0,0.0,1432.0,123.0,21.0,561.0
42713,0.0,0.0,383.0,25.0,26.0,130.0
42054,0.0,0.0,133.0,40.0,0.0,119.0
42060,0.0,0.0,10.0,0.0,0.0,0.0
42066,0.0,0.0,4718.0,854.0,152.0,2299.0
42127,0.0,0.0,1457.0,298.0,248.0,602.0
